¿Qué es Frodo?,hobbit
¿Quién descubrio America?,colon
¿De qué color es la caja negra de los aviones?,naranja
¿De qué color es el caballo blanco de Napoleón?,cafe
¿Cómo se llama el armazón de los aviones?,fuselaje
¿En cual país esta la torre de Pisa?,italia
A las personas de que país se les llaman cariocas?,brasil
¿cuantos años tiene un lustro?,5
¿Cuanto duro la guerra de 100 años?,116 
¿En qué mes los rusos celebran la Revolución de Octubre?,noviembre
¿Qué País fabrica los famosos Panama hats?,ecuador  
